symbol,company_name,sector,major_sector,SECTOR_CONSUMER,SECTOR_ENERGY,SECTOR_FINANCIAL,SECTOR_MATERIALS,SECTOR_METALS,SECTOR_OTHER,SECTOR_PHARMA,SECTOR_SERVICES
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
TORNTPOWER,Torrent Power Limited,Integrated Power Utilities,ENERGY,False,True,False,False,False,False,False,False
TRENT,Trent Limited,Speciality Retail,OTHER,False,False,False,False,False,True,False,False
TVSMOTOR,TVS Motor Company Limited,2/3 Wheelers,OTHER,False,False,False,False,False,True,False,False
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products,MATERIALS,False,False,False,True,False,False,False,False
UNIONBANK,Union Bank of India,Public Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
UNITDSPR,United Spirits Limited,Breweries & Distilleries,OTHER,False,False,False,False,False,True,False,False
UPL,UPL Limited,Pesticides & Agrochemicals,MATERIALS,False,False,False,True,False,False,False,False
VBL,Varun Beverages Limited,Other Beverages,OTHER,False,False,False,False,False,True,False,False
VEDL,Vedanta Limited,Diversified Metals,METALS,False,False,False,False,True,False,False,False
VOLTAS,Voltas Limited,Household Appliances,OTHER,False,False,False,False,False,True,False,False
WIPRO,Wipro Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
YESBANK,Yes Bank Limited,Private Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
ZYDUSLIFE,Zydus Lifesciences Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
